type,src_or_text,pair
image,imagens/imagem1.jpeg,image1
word,SUN,image1
image,imagens/imagem2.jpeg,image2
word,MOON,image2
image,imagens/imagem3.jpeg,image3
word,STAR,image3
image,imagens/imagem4.jpeg,image4
word,PLANT,image4
image,imagens/imagem5.jpeg,image5
word,TREE,image5
image,imagens/imagem6.jpeg,image6
word,FLOWER,image6
image,imagens/imagem7.jpeg,image7
word,SEA,image7
image,imagens/imagem8.jpeg,image8
word,FISH,image8
image,imagens/imagem9.jpeg,image9
word,BIRD,image9
image,imagens/imagem10.jpeg,image10
word,ANIMAL,image10

